~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,BR1,BR2,BR3,BR4,BR5,BR6,BR7,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
mag_l96a1_7.62x51_default,st_mag_l96a1_7.62x51,st_mag_l96a1_7.62x51_descr,0.16,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_lancer,st_mag_lancer,st_mag_lancer_descr,0.18,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_legion_9x19,st_mag_ppp_sig_9x19_fmj,st_mag_ppp_sig_9x19_fmj_descr,0.07,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_m1a1_11.43x23_default,st_mag_m1a1_11.43x23_fmj,st_mag_m1a1_11.43x23_fmj_descr,0.45,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_m249_5.56x45_default,st_mag_m249_5.56x45,st_mag_m249_5.56x45_descr,0.50,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_m82_12.7x55_default,st_mag_m82_12.7x55,st_mag_m82_12.7x55_descr,0.77,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_m98b_300_default,st_mag_m98b_magnum_300,st_mag_m98b_magnum_300_descr,0.20,0,8500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mac10_9x18_alt,st_mag_mac10_9x18_standard,st_mag_mac10_9x18_standard_descr,0.25,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mac10_9x18_ext_alt,st_mag_mac10_9x18_ext,st_mag_mac10_9x18_ext_descr,0.37,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mac10_9x19_ext,st_mag_mac10_9x19_ext,st_mag_mac10_9x19_ext_descr,0.37,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mac10_9x19_standard,st_mag_mac10_9x19_standard,st_mag_mac10_9x19_standard_descr,0.25,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mk23_45,st_mag_ppp_mk23_45,st_mag_ppp_mk23_45_descr,0.12,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp443_9x18_alt,st_mag_mp443_9x18_fmj,st_mag_mp443_9x18_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp443_9x19_default,st_mag_mp443_9x19_fmj,st_mag_mp443_9x19_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp5_9x18_alt,st_mag_mp5_9x18_fmj,st_mag_mp5_9x18_fmj_descr,0.17,0,4000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp5_9x18_extended,st_mag_mp5_9x18_fmjext,st_mag_mp5_9x18_fmjext_descr,0.14,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp5_9x18_extended50,st_mag_mp5_9x18_fmjext50,st_mag_mp5_9x18_fmjext50_descr,0.45,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp5_9x19_default,st_mag_mp5_9x19_fmj,st_mag_mp5_9x19_fmj_descr,0.14,0,4000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp5_9x19_extended,st_mag_mp5_9x19_fmjext,st_mag_mp5_9x19_fmjext_descr,0.17,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp5_9x19_extended50,st_mag_mp5_9x19_fmjext50,st_mag_mp5_9x19_fmjext50_descr,0.45,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp7_5.7x28_default,st_mag_mp7_5.7x28_ss190,st_mag_mp7_5.7x28_ss190_descr,0.23,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp7_5.7x28_small,st_mag_mp7_5.7x28_short,st_mag_mp7_5.7x28_short_descr,0.18,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp7_9x18_alt,st_mag_mp7_9x18_fmj,st_mag_mp7_9x18_fmj_descr,0.25,0,1754,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp7_9x19_default,st_mag_mp7_9x19_fmj,st_mag_mp7_9x19_fmj_descr,0.25,0,1754,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp9iwp,st_mag_mp9iwp,st_mag_mp9iwp_descr,0.08,0,4000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp9iwp_9x18,st_mag_mp9iwp_9x18,st_mag_mp9iwp_9x18_descr,0.08,0,4000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp9iwp_9x18_ext,st_mag_mp9iwp_9x18_ext,st_mag_mp9iwp_9x18_ext_descr,0.15,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_mp9iwp_ext,st_mag_mp9iwp_ext,st_mag_mp9iwp_ext_descr,0.15,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.45x39_alt,st_mag_nato_5.45x39,st_mag_nato_5.45x39_descr,0.12,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_casket,st_mag_nato_5.56x45_casket,st_mag_nato_5.56x45_casket_descr,0.18,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_default,st_mag_stanag,st_mag_stanag_descr,0.12,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_drum,st_mag_nato_5.56x45_drum,st_mag_nato_5.56x45_drum_descr,0.58,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_drum_ext,st_mag_nato_5.56x45_drum_ext,st_mag_nato_5.56x45_drum_ext_descr,1.01,0,21500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_extended,st_mag_nato_5.56x45_extended,st_mag_nato_5.56x45_extended_descr,0.20,0,5200,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_fast,st_mag_nato_5.56x45_fast,st_mag_nato_5.56x45_fast_descr,0.13,0,4250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_nato_5.56x45_short,st_mag_stanag_short,st_mag_stanag_short_descr,0.14,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_oc_9x18_default,st_mag_oc33_9x18_fmj,st_mag_oc33_9x18_fmj_descr,0.16,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_oc_9x19_alt,st_mag_oc33_9x19_fmj,st_mag_oc33_9x19_fmj_descr,0.16,0,3250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ots_9x39_default,st_mag_groza_9x39_pab9,st_mag_groza_9x39_pab9_descr,0.22,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_p220_9x19_u2p2bas,st_mag_p220_9x19_u2p2bas,st_mag_p220_9x19_u2p2bas_descr,0.22,0,1750,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_p90_5.7x28_default,st_mag_p90_5.7x28_ss190,st_mag_p90_5.7x28_ss190_descr,0.14,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_p90_5.7x28_ext,st_mag_p90_ext,st_mag_p90_ext_descr,0.32,0,15000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pkp_pkm_default,st_mag_pkm_pkm,st_mag_pkm_pkm_descr,0.90,0,18500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pm_9x18_default,st_mag_pm_9x18_fmj,st_mag_pm_9x18_fmj_descr,0.08,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pm_9x19_alt,st_mag_pm_9x19_fmj,st_mag_pm_9x19_fmj_descr,0.08,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pmm_9x18_default,st_mag_pmm_9x18_fmj,st_mag_pmm_9x18_fmj_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pmm_9x19_alt,st_mag_pmm_9x19_fmj,st_mag_pmm_9x19_fmj_descr,0.10,0,2150,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pp2000_9x18_alt,st_mag_pp2000_9x18_fmj,st_mag_pp2000_9x18_fmj_descr,0.11,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pp2000_9x18_ext_alt,st_mag_pp2000_9x18_ext,st_mag_pp2000_9x18_ext_descr,0.21,0,6250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pp2000_9x19_default,st_mag_pp2000_9x19_fmj,st_mag_pp2000_9x19_fmj_descr,0.11,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_pp2000_9x19_ext,st_mag_pp2000_9x19_ext,st_mag_pp2000_9x19_ext_descr,0.21,0,6250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ppp_glock_45_default,st_ppp_glock_45_fmj,st_ppp_glock_45_fmj_descr,0.09,0,487,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ppsh_7.62x25_default,st_mag_ppsh41_7.62x25_p,st_mag_ppsh41_7.62x25_p_descr,1.02,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ppsh_7.62x25_stick,st_mag_ppsh41_7.62x25_stick,st_mag_ppsh41_7.62x25_stick_descr,0.23,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_px4_45_default,st_mag_ppp_px4_45,st_mag_ppp_px4_45_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_px4_9x19_default,st_mag_ppp_px4_9x19_fmj,st_mag_ppp_px4_9x19_fmj_descr,0.16,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_raptr_12x76_default,mag_raptr,mag_raptr_descr,0.80,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rem_7.62x51_default,st_mag_remington700_7.62x51,st_mag_remington700_7.62x51_descr,0.11,0,5000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_remington700_7.62x51,st_mag_basremington700_7.62x51,st_mag_basremington700_7.62x51_descr,0.20,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_remingtonarchangel_7.62x51,st_mag_remingtonarchangel_7.62x51,st_mag_remingtonarchangel_7.62x51_descr,0.23,0,11250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_remingtonla_300,st_mag_remingtonla_300,st_mag_remingtonla_300_descr,0.30,0,8250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_remingtonla_300_gamma,st_mag_remingtonla_300,st_mag_remingtonla_300_descr,0.30,0,8250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rpd_7.62x39_default,st_mag_rpd_7.62x39,st_mag_rpd_7.62x39_descr,0.90,0,17500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rpk_5.45x39_default,st_mag_rpk74_5.45x39,st_mag_rpk74_5.45x39_descr,0.30,0,5000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rpk_5.56x45_default,st_mag_rpk74_5.56x45,st_mag_rpk74_5.56x45_descr,0.30,0,5000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rpk_7.62x39_default,st_mag_rpk_7.62x39,st_mag_rpk_7.62x39_descr,0.46,0,6250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rxp_45,st_mag_ppp_signimble_45_fmj,st_mag_ppp_signimble_45_fmj_descr,0.07,0,370,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_rxp_9x19,st_mag_ppp_signimble_9x19_fmj,st_mag_ppp_signimble_9x19_fmj_descr,0.07,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_saiga12_drum,st_mag_saiga12_drum,st_mag_saiga12_drum_descr,1.30,0,15000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_saiga12s_12x70_default,st_mag_saiga12s_12x70,st_mag_saiga12s_12x70_descr,0.21,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_saiga12s_12x70_extended,st_mag_saiga12s_ext_12x70,st_mag_saiga12s_ext_12x70_descr,0.21,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sig_5.56x45_default,st_mag_sig550_5.56x45,st_mag_sig550_5.56x45_descr,0.11,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sig_5.56x45_sniper,st_mag_sig550_sniper_5.56x45,st_mag_sig550_sniper_5.56x45_descr,0.11,0,2000,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sigp220_default,st_mag_sigp220_11.43x23_fmj,st_mag_sigp220_11.43x23_fmj_descr,0.08,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sigp220_extended,st_mag_sigp220_11.43x23_fmjext,st_mag_sigp220_11.43x23_fmjext_descr,0.12,0,7500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sks_7.62x39,st_mag_sks_7.62x39,st_mag_sks_7.62x39_descr,0.15,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sks_7.62x39_extended,st_mag_sksext_7.62x39,st_mag_sksext_7.62x39_descr,0.28,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sks_7.62x54,st_mag_sks_7.62x54,st_mag_sks_7.62x54_descr,0.15,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sks_7.62x54_extended,st_mag_sks_7.62x54ext,st_mag_sks_7.62x54ext_descr,0.28,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sr1m_9x21_default,st_mag_sr1m_9x21,st_mag_sr1m_9x21_descr,0.09,0,1900,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sr1m_9x21_extended,st_mag_sr1m_9x21ext,st_mag_sr1m_9x21ext_descr,0.14,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sr2m_9x18_veresk,st_mag_sr2m_9x18_veresk,st_mag_sr2m_9x18_veresk_descr,0.14,0,1254,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sr2m_9x21_veresk,st_mag_sr2m_9x21_veresk,st_mag_sr2m_9x21_veresk_descr,0.15,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_stanag_7.62x51_default,st_mag_stanag_7.62x51,st_mag_stanag_7.62x51_descr,0.23,0,4525,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_stanag_7.62x51_extended,st_mag_stanag_7.62x51_ext,st_mag_stanag_7.62x51_ext_descr,0.30,0,8750,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_stanag_7.62x51_fast,st_mag_stanag_fast_7.62x51,st_mag_stanag_fast_7.62x51_descr,0.17,0,5250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_stanag_7.62x51_short,st_mag_stanag_7.62x51_short,st_mag_stanag_7.62x51_short_descr,0.09,0,4050,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_steyr_556,st_mag_steyr_556,st_mag_steyr_556_descr,0.18,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_steyr_762,st_mag_steyr_762,st_mag_steyr_762_descr,0.11,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sv98_7.62x54_default,st_mag_sv98_7.62x54,st_mag_sv98_7.62x54_descr,0.15,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_svd_7.62x54_default,st_mag_svd_7.62x54,st_mag_svd_7.62x54_descr,0.30,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_svd_7.62x54_extended,st_mag_svd_7.62x54_extended,st_mag_svd_7.62x54_extended_descr,0.45,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_svi_45,st_mag_ppp_svi_45,st_mag_ppp_svi_45_descr,0.16,0,1330,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_svt_7.62x39_alt,st_mag_svt40_7.62x39,st_mag_svt40_7.62x39_descr,0.20,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_svt_7.62x54_default,st_mag_svt40_7.62x54,st_mag_svt40_7.62x54_descr,0.28,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sw_45_default,st_ppp_sw_45_fmj,st_ppp_sw_45_fmj_descr,0.16,0,330,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_sw_919_default,st_ppp_sw_919_fmj,st_ppp_sw_919_fmj_descr,0.16,0,330,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_t63_7.62x39_default,st_mag_type63_7.62x39,st_mag_type63_7.62x39_descr,0.23,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_t63_7.62x54_alt,st_mag_type63_7.62x54,st_mag_type63_7.62x54_descr,0.23,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_tt33_7.62x25_default,st_mag_tt33_7.62x25_p,st_mag_tt33_7.62x25_p_descr,0.10,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_tt33_7.62x25_ext,st_mag_tt33_7.62x25_p,st_mag_tt33_7.62x25_p_descr,0.21,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_ump45_11.43x23_default,st_mag_ump45_11.43x23_fmj,st_mag_ump45_11.43x23_fmj_descr,0.17,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_usas12_12x70_default,st_mag_usas12_12x70,st_mag_usas12_12x70_descr,0.75,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_usp_11.43x23_default,st_mag_usp_11.43x23_fmj,st_mag_usp_11.43x23_fmj_descr,0.10,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_usptac_9x19,st_mag_usptac_9x19_fmj,st_mag_usptac_9x19_fmj_descr,0.08,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_usptac_9x19_extended,st_mag_usptac_9x19_fmjext,st_mag_usptac_9x19_fmjext_descr,0.13,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_uzi_9x19_default,st_mag_uzi_9x19,st_mag_uzi_9x19_descr,0.32,0,3250,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_uzi_9x19_extended,st_mag_uzi_9x19_extended,st_mag_uzi_9x19_extended_descr,0.45,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_val_9x39_default,st_mag_val_9x39_pab9,st_mag_val_9x39_pab9_descr,0.22,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vepr_12x70_compact,st_mag_vepr_compact_12x70,st_mag_vepr_compact_12x70_descr,0.12,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vepr_12x70_default,st_mag_vepr_12x70,st_mag_vepr_12x70_descr,0.21,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vihr_9x39_default,st_mag_vihr_9x39_pab9,st_mag_vihr_9x39_pab9_descr,0.25,0,12500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vityaz_9x18_alt,st_mag_vityaz_9x18_fmj,st_mag_vityaz_9x18_fmj_descr,0.11,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vityaz_9x19_default,st_mag_vityaz_9x19_fmj,st_mag_vityaz_9x19_fmj_descr,0.11,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vsk_12.7x55_default,st_mag_vssk_12.7x55,st_mag_vssk_12.7x55_descr,0.20,0,5500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vsk_9x39_default,st_mag_vsk94_9x39_pab9,st_mag_vsk94_9x39_pab9_descr,0.22,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vss_9x39_default,st_mag_vintorez_9x39_pab9,st_mag_vintorez_9x39_pab9_descr,0.15,0,4500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vz61_9x18_alt,st_mag_vz61_9x18_fmj,st_mag_vz61_9x18_fmj_descr,0.13,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_vz61_9x19_default,st_mag_vz61_9x19_fmj,st_mag_vz61_9x19_fmj_descr,0.13,0,2500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_wa_7.62x51_default,st_mag_wa2000_7.62x51,st_mag_wa2000_7.62x51_descr,0.34,0,6500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_wp99_9x19,st_mag_wp99_9x19_fmj,st_mag_wp99_9x19_fmj_descr,0.08,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_wp99_9x19_extended,st_mag_wp99_9x19_fmjext,st_mag_wp99_9x19_fmjext_descr,0.10,0,3500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
mag_xd9_9x19_default,st_ppp_xd9_9x19_fmj,st_ppp_xd9_9x19_fmj_descr,0.09,0,1500,0,,,,,,,1,0,0%,0%,0%,0%,0%,0%,0,0,0
